,alias,display_phone,distance,id,image_url,name,phone,price,rating,review_count,url,latitude,longitude,address1,address2,address3,city,zip_code,country,state,display_address,category1,category2,alias,title
0,feel-hairdressers-london,+44 20 3230 1000,280.2810179,kD_AWVcYocWcmG2KSvXcmQ,https://s3-media3.fl.yelpcdn.com/bphoto/OD--c91MEMsgdkk9yeVAJw/o.jpg,Feel Hairdressers,4.42E+11,££,4.5,51,https://www.yelp.com/biz/feel-hairdressers-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.5153433,-0.1363643,49 Berwick Street,,,London,W1F 8SH,GB,XGL,"49 Berwick Street, London W1F 8SH",,,hair,Hair Salons
1,jiemao-lashes-london-2,+44 7449 393469,3635.680757,YvFMoxOgOlYyjzYoVO_kig,https://s3-media2.fl.yelpcdn.com/bphoto/DUmR8t_jdu8KM15JPVcJeg/o.jpg,Jiemao Lashes,4.47E+11,£££,4.5,18,https://www.yelp.com/biz/jiemao-lashes-london-2?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.518887,-0.084322,1-2 Broadgate Circle,,,London,EC2M 2QS,GB,XGL,"1-2 Broadgate Circle, London EC2M 2QS","{'alias': 'permanentmakeup', 'title': 'Permanent Makeup'}",,eyelashservice,Eyelash Service
2,michaels-barber-shop-london,+44 20 7370 6983,4426.130109,c9B5ojibcNlAS1RppCAZ_A,https://s3-media2.fl.yelpcdn.com/bphoto/JH25d2wAQmDHShN05CTVBg/o.jpg,Michael's Barber Shop,4.42E+11,£,4.5,16,https://www.yelp.com/biz/michaels-barber-shop-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.4937818,-0.1920861,54c Kenway Road,,,London,SW5 0RA,GB,XGL,"54c Kenway Road, London SW5 0RA",,,barbers,Barbers
3,ruffians-london-4,+44 20 7240 8180,885.4654154,tXlLc0_5Gc0jWeBh69fjaA,https://s3-media2.fl.yelpcdn.com/bphoto/YCwJVH70Em84fbSrMiSESw/o.jpg,Ruffians,4.42E+11,££,4.5,13,https://www.yelp.com/biz/ruffians-london-4?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.51051661,-0.12371509,27 Maiden Lane,Covent Garden,,London,WC2E 7JS,GB,XGL,"27 Maiden Lane, Covent Garden, London WC2E 7JS",,,barbers,Barbers
4,floris-flagship-shop-london,+44 845 702 3239,528.36575,1Cpn3lDC5wxRL3Lcz9IhDQ,https://s3-media1.fl.yelpcdn.com/bphoto/szVKHJuDcCrEjmuvy3bCrQ/o.jpg,Floris Flagship Shop,4.48E+11,£££,5,6,https://www.yelp.com/biz/floris-flagship-shop-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.50814702,-0.137196958,89 Jermyn Street,St James,,London,SW1Y 6JH,GB,XGL,"89 Jermyn Street, St James, London SW1Y 6JH",,,perfume,Perfume
5,blow-dry-express-london-4,+44 20 7247 8081,4125.117889,Q7DVsYUuCbWHvyZsGq4zRw,https://s3-media3.fl.yelpcdn.com/bphoto/gHo2zx_24gF0qgYMIc1WGw/o.jpg,Blow Dry Express,4.42E+11,££,4.5,6,https://www.yelp.com/biz/blow-dry-express-london-4?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.518322,-0.076997,54 Artillery Lane,,,London,E1 7LS,GB,XGL,"54 Artillery Lane, London E1 7LS",,,blowoutservices,Blow Dry/Out Services
6,gusto-hairdressing-soho-london-2,+44 20 7287 0015,156.2483946,kiiV--_LI9xhksdPbQZmlA,https://s3-media3.fl.yelpcdn.com/bphoto/UKbCCrqGCxPdwGVD2Vn8uw/o.jpg,Gusto Hairdressing - Soho,4.42E+11,£££,4,10,https://www.yelp.com/biz/gusto-hairdressing-soho-london-2?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.5122224,-0.1339242,11 Brewer Street,,,London,W1F 0RQ,GB,XGL,"11 Brewer Street, London W1F 0RQ",,,hair,Hair Salons
7,aer-blowdry-bar-london,+44 20 7244 9499,4105.843883,#NAME?,https://s3-media2.fl.yelpcdn.com/bphoto/2ur_MMgjyl3kBm4W2w_A7w/o.jpg,aer blowdry bar,4.42E+11,££,4.5,5,https://www.yelp.com/biz/aer-blowdry-bar-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.4909489,-0.1836569,172 Old Brompton Road,,,London,SW5 0BA,GB,XGL,"172 Old Brompton Road, London SW5 0BA","{'alias': 'eyelashservice', 'title': 'Eyelash Service'}","{'alias': 'hairremoval', 'title': 'Hair Removal'}",blowoutservices,Blow Dry/Out Services
8,hairform-studio-holborn,+44 20 7404 8726,1308.685219,Jy-05L2OzQuB0WtExEwEOw,https://s3-media1.fl.yelpcdn.com/bphoto/R7QKp9j2txbdJscElk05vw/o.jpg,Hairform Studio,4.42E+11,none,5,5,https://www.yelp.com/biz/hairform-studio-holborn?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.518166,-0.118978,4 Procter Street,,,Holborn,WC1V 6NX,GB,XGL,"4 Procter Street, Holborn WC1V 6NX",,,hair,Hair Salons
9,imenio-beauty-london-2,+44 20 7361 1561,3889.628777,FCLfOKWBVW9ziPPDcyD6vQ,https://s3-media3.fl.yelpcdn.com/bphoto/97-mDW7uRW6bmGhNGFjBFg/o.jpg,Imenio Beauty,4.42E+11,££,5,4,https://www.yelp.com/biz/imenio-beauty-london-2?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.5004544,-0.1885179,10 Thackery Street,,,London,W8 5ET,GB,XGL,"10 Thackery Street, London W8 5ET","{'alias': 'spraytanning', 'title': 'Spray Tanning'}","{'alias': 'othersalons', 'title': 'Nail Salons'}",skincare,Skin Care
