,alias,display_phone,distance,id,image_url,name,phone,price,rating,review_count,url,latitude,longitude,address1,address2,address3,city,zip_code,country,state,display_address,category1,category2,alias,title
0,horniman-museum-and-gardens-london-3,+44 20 8699 1872,9522.563228,bnFSmZzdUGmcxLpD5HWp6w,https://s3-media1.fl.yelpcdn.com/bphoto/u05D6rsGxxRmeOVF2bwXNA/o.jpg,Horniman Museum and Gardens,4.42E+11,none,4.5,67,https://www.yelp.com/biz/horniman-museum-and-gardens-london-3?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.441037,-0.061009,100 London Road,Forest Hill,,London,SE23 3PQ,GB,XGL,"100 London Road, Forest Hill, London SE23 3PQ","{alias: parks, title: Parks}",,museums,Museums
1,cluequest-london-2,+44 7798 772382,2920.919172,KQNXSFpwDda26Sm3bVVMVg,https://s3-media1.fl.yelpcdn.com/bphoto/-FESVmQcbvx8amm3NOBFrQ/o.jpg,clueQuest,4.48E+11,none,5,20,https://www.yelp.com/biz/cluequest-london-2?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.536398,-0.117001,169-171 Caledonian Road,,,London,N1 0SL,GB,XGL,"169-171 Caledonian Road, London N1 0SL",,,escapegames,Escape Games
2,richmond-park-richmond,+44 20 8940 8730,12019.20215,HNyDppTlyO1QFZgbVZm8Uw,https://s3-media2.fl.yelpcdn.com/bphoto/5X438Zc5ITA5WT6513QhNg/o.jpg,Richmond Park,4.42E+11,none,4.5,139,https://www.yelp.com/biz/richmond-park-richmond?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.4427187,-0.268039539,Holly Lodge,Richmond Park,,Richmond,TW10 5HS,GB,XGL,"Holly Lodge, Richmond Park, Richmond TW10 5HS",,,parks,Parks
3,paddington-recreation-ground-london-2,+44 20 7644 6880,4162.242355,JbAAdsF_SiRKmka2GQ9c9w,https://s3-media2.fl.yelpcdn.com/bphoto/Z3AwvV9zRQo8eVq2V7zrYg/o.jpg,Paddington Recreation Ground,4.42E+11,none,4.5,10,https://www.yelp.com/biz/paddington-recreation-ground-london-2?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.531747,-0.187873,Randolph Avenue,,,London,W9 1PD,GB,XGL,"Randolph Avenue, London W9 1PD",,,sports_clubs,Sports Clubs
4,london-bicycle-tour-co-london,+44 20 7928 6838,2486.912955,u_-9CC5FRg-FiA72hVAZtQ,https://s3-media4.fl.yelpcdn.com/bphoto/bmTqxquweOy7bnWCAppQYQ/o.jpg,London Bicycle Tour Co,4.42E+11,none,4,11,https://www.yelp.com/biz/london-bicycle-tour-co-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.4961682,-0.1119967,74 Kennington Road,Kennington,,London,SE11 6NL,GB,XGL,"74 Kennington Road, Kennington, London SE11 6NL","{alias: biketours, title: Bike tours}",,bikerentals,Bike Rentals
5,2020-archery-london,+44 20 3130 6797,4360.805949,UX7LgDIdvjGLcRxJZMi7Ww,https://s3-media3.fl.yelpcdn.com/bphoto/9R4qHOC9xPaQxC1BPcErYw/o.jpg,2020 Archery,4.42E+11,none,4.5,6,https://www.yelp.com/biz/2020-archery-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.500704,-0.076038,The Downside Centre,Coxson Place,Druid Street,London,SE1 2EZ,GB,XGL,"The Downside Centre, Coxson Place, Druid Street, London SE1 2EZ",,,archery,Archery
6,tower-hamlets-cemetery-park-london-2,+44 20 8983 1277,7582.400278,Tr5qgCR274wleBvzltb1iw,https://s3-media1.fl.yelpcdn.com/bphoto/vvUqZ9Bhn9TthpeJ7Jm50A/o.jpg,Tower Hamlets Cemetery Park,4.42E+11,none,4.5,5,https://www.yelp.com/biz/tower-hamlets-cemetery-park-london-2?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.52303615,-0.027605719,The Soanes Cenre,Southern Grove,,London,E3 4PX,GB,XGL,"The Soanes Cenre, Southern Grove, London E3 4PX",,,parks,Parks
7,jubilee-hall-london,+44 20 7836 4007,985.3245733,cDchJcynN_dchPJjLSGpFA,https://s3-media4.fl.yelpcdn.com/bphoto/tur2ZzblbEqhMneTum5t3w/o.jpg,Jubilee Hall,4.42E+11,none,4,10,https://www.yelp.com/biz/jubilee-hall-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.512071,-0.122976,30 The Piazza,Covent Garden Market,,London,WC2E 8BE,GB,XGL,"30 The Piazza, Covent Garden Market, London WC2E 8BE",,,gyms,Gyms
8,studio-crossfit-london,+44 20 7729 0111,4221.368625,KCT8UzS5DSryuIR6LtPIMw,https://s3-media3.fl.yelpcdn.com/bphoto/honqVQ_tW-NBUa_tGZdeGw/o.jpg,Studio CrossFit,4.42E+11,none,5,3,https://www.yelp.com/biz/studio-crossfit-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.5261933,-0.0788466,89A Rivington Street,Shoreditch,,London,EC2A 3AY,GB,XGL,"89A Rivington Street, Shoreditch, London EC2A 3AY","{alias: gyms, title: Gyms}",,healthtrainers,Trainers
9,clue-adventures-escape-game-london-2,+44 20 7093 3221,7284.138965,20PfI6N0Sxa6Esqj0oUgtw,https://s3-media4.fl.yelpcdn.com/bphoto/iwcGZF9qmHv1GVllpF7HsQ/o.jpg,Clue Adventures Escape Game,4.42E+11,none,5,3,https://www.yelp.com/biz/clue-adventures-escape-game-london-2?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.51821397,-0.03104423,Arch 419,Burdett Road,,London,E3 4AA,GB,XGL,"Arch 419, Burdett Road, London E3 4AA",,,escapegames,Escape Games
