,alias,display_phone,distance,id,image_url,name,phone,price,rating,review_count,url,latitude,longitude,address1,address2,address3,city,zip_code,country,state,display_address,category1,category2,alias,title
0,apple-store-london-12,+44 20 7153 9000,444.6445699,jgEI_M1OnwuKDUsKqVbNOQ,https://s3-media4.fl.yelpcdn.com/bphoto/B6qa4On99o33DwiBXdMZ8w/o.jpg,Apple Store,4.42072E+11,£££,4,152,https://www.yelp.com/biz/apple-store-london-12?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.5140898,-0.1416398,235 Regent Street,,,London,W1B 2EL,GB,XGL,"235 Regent Street, London W1B 2EL","{'alias': 'computers', 'title': 'Computers'}","{'alias': 'mobilephones', 'title': 'Mobile Phones'}",itservices,IT Services & Computer Repair
1,yamaha-music-london-london-3,+44 20 7432 4400,380.3798216,dG2sxrmTuIHeZ_S0vCUi3w,https://s3-media1.fl.yelpcdn.com/bphoto/H-M09Bbb0_SjxsEZuMvWng/o.jpg,Yamaha Music London,4.42074E+11,£££,4.5,11,https://www.yelp.com/biz/yamaha-music-london-london-3?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.51600708,-0.133895874,152-160 Wardour Street,,,London,W1F 8YA,GB,XGL,"152-160 Wardour Street, London W1F 8YA","{'alias': 'guitarstores', 'title': 'Guitar Stores'}","{'alias': 'pianostores', 'title': 'Piano Stores'}",musicalinstrumentsandteachers,Musical Instruments & Teachers
2,london-graphic-centre-london,+44 20 7759 4500,679.4290018,susMOyAtkQj6zY8j4ewx1w,https://s3-media2.fl.yelpcdn.com/bphoto/MrCvyTXfI17YHjzMoOiYJw/o.jpg,London Graphic Centre,4.42078E+11,££,4,20,https://www.yelp.com/biz/london-graphic-centre-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.51329495,-0.126165343,16-18 Shelton Street,,,London,WC2H 9JL,GB,XGL,"16-18 Shelton Street, London WC2H 9JL","{'alias': 'copyshops', 'title': 'Printing Services'}","{'alias': 'stationery', 'title': 'Cards & Stationery'}",artsupplies,Art Supplies
3,spiritland-london-2,+44 20 3319 0050,2732.503107,c8njkRpx4hG9ezYZ7VGLEg,https://s3-media1.fl.yelpcdn.com/bphoto/VpDoRhCzxSNCn30ThMPBCQ/o.jpg,Spiritland,4.42033E+11,££,4.5,8,https://www.yelp.com/biz/spiritland-london-2?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.5365277,-0.12547,9-10 Stable Street,,,London,N1C 4AB,GB,XGL,"9-10 Stable Street, London N1C 4AB","{'alias': 'cafes', 'title': 'Cafes'}","{'alias': 'recording_studios', 'title': 'Recording & Rehearsal Studios'}",bars,Bars
4,alsal-watches-london,+44 20 7353 4195,1660.473869,jcfpjgpj5IW10V5F-7dfjQ,https://s3-media2.fl.yelpcdn.com/bphoto/wrUHHf_R0dAViiSx0fDgVQ/o.jpg,Alsal Watches,4.42074E+11,none,5,3,https://www.yelp.com/biz/alsal-watches-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.51362803,-0.111994441,226 Strand,London,,London,WC2R 1BA,GB,XGL,"226 Strand, London, London WC2R 1BA","{'alias': 'watch_repair', 'title': 'Watch Repair'}",,watches,Watches
5,reload-internet-london,+44 20 7262 4111,2793.411053,uvpwNzRMIJJPTs07RGtj_w,https://s3-media2.fl.yelpcdn.com/bphoto/G4NaorjcoEuwBOi6VNFmYg/o.jpg,Reload Internet,4.42073E+11,none,4,5,https://www.yelp.com/biz/reload-internet-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.5154173,-0.1761099,197 Praed Street,Paddington,,London,W2 1RH,GB,XGL,"197 Praed Street, Paddington, London W2 1RH","{'alias': 'photographystores', 'title': 'Photography Stores & Services'}","{'alias': 'photographers', 'title': 'Photographers'}",copyshops,Printing Services
6,east-central-cycles-london,+44 20 7837 0651,2287.302196,QNGgbx6Q9uRFiC6-cdYIAA,https://s3-media3.fl.yelpcdn.com/bphoto/0devJwuKH8_Mx4OtBtWj3A/o.jpg,East Central Cycles,4.42078E+11,££,4,3,https://www.yelp.com/biz/east-central-cycles-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.52539067,-0.109769948,18 Exmouth Market,,,London,EC1R 4QE,GB,XGL,"18 Exmouth Market, London EC1R 4QE","{'alias': 'bike_repair_maintenance', 'title': 'Bike Repair/Maintenance'}",,bikes,Bikes
7,fedex-print-shop-london,+44 20 7637 7823,606.1223142,syyCIY9k97JpVgwIJ6eRog,https://s3-media2.fl.yelpcdn.com/bphoto/thcozdeYeUgXdTG0620iqg/o.jpg,Fedex Print Shop,4.42076E+11,££,3.5,3,https://www.yelp.com/biz/fedex-print-shop-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.51744461,-0.140686005,4 Little Portland Street,,,London,W1W 7JB,GB,XGL,"4 Little Portland Street, London W1W 7JB","{'alias': 'couriers', 'title': 'Couriers & Delivery Services'}","{'alias': 'shipping_centers', 'title': 'Shipping Centers'}",internetcafe,Internet Cafes
8,flag-bikes-london,+44 20 7738 9469,5152.902887,OStN3rr_ecEctVVCizuWSw,https://s3-media3.fl.yelpcdn.com/bphoto/LKHCOu4Axw7qpQ6rHiilrQ/o.jpg,Flag Bikes,4.42077E+11,££,4.5,2,https://www.yelp.com/biz/flag-bikes-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.47132119,-0.169030324,324 Battersea Park Road,,,London,SW11 3BX,GB,XGL,"324 Battersea Park Road, London SW11 3BX","{'alias': 'bike_repair_maintenance', 'title': 'Bike Repair/Maintenance'}",,bikes,Bikes
9,snappy-snaps-london-70,+44 20 7738 1523,5965.14464,#NAME?,https://s3-media2.fl.yelpcdn.com/bphoto/ysThPoB0x-l3CPr6I1ul4g/o.jpg,Snappy Snaps,4.42077E+11,£££,3.5,3,https://www.yelp.com/biz/snappy-snaps-london-70?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.463253,-0.168847,13 St Johns Hill,,,London,SW11 1TN,GB,XGL,"13 St Johns Hill, London SW11 1TN","{'alias': 'framing', 'title': 'Framing'}","{'alias': 'copyshops', 'title': 'Printing Services'}",photographystores,Photography Stores & Services
10,farringdon-locksmith-london,+44 20 7837 5179,2337.768375,hNgYMnHoj8rmpd01D3FoyA,https://s3-media1.fl.yelpcdn.com/bphoto/AfHM_c0pm-_FbBceDRO2QA/o.jpg,Farringdon Locksmith,4.42078E+11,none,3.5,3,https://www.yelp.com/biz/farringdon-locksmith-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.525893,-0.109475,29 Exmouth Market,,,London,EC1R 4QL,GB,XGL,"29 Exmouth Market, London EC1R 4QL","{'alias': 'hardware', 'title': 'Hardware Stores'}","{'alias': 'knifesharpening', 'title': 'Knife Sharpening'}",locksmiths,Keys & Locksmiths
11,s-b-s-printing-and-stationery-london,+44 20 8858 1226,9429.993413,BQU3uGKWt5mYNKhyolVpzg,https://s3-media3.fl.yelpcdn.com/bphoto/-oF628JHpWkaJC_T3W4nQg/o.jpg,S B S Printing & Stationery,4.42089E+11,none,5,1,https://www.yelp.com/biz/s-b-s-printing-and-stationery-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.477703,-0.011977,7 Greenwich South Street,,,London,SE10 8NW,GB,XGL,"7 Greenwich South Street, London SE10 8NW","{'alias': 'stationery', 'title': 'Cards & Stationery'}","{'alias': 'artsupplies', 'title': 'Art Supplies'}",copyshops,Printing Services
12,mr-shoreditch-london-3,+44 20 3627 7030,4067.959757,V6B6QliPMD1GTUjF0mTeEQ,https://s3-media1.fl.yelpcdn.com/bphoto/W6F3UvYU82XBL__kZ-QRRA/o.jpg,MR Shoreditch,4.42036E+11,none,3.5,3,https://www.yelp.com/biz/mr-shoreditch-london-3?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.5264959,-0.0814326,3 Charlotte Road,,,London,EC2A 3DH,GB,XGL,"3 Charlotte Road, London EC2A 3DH","{'alias': 'computers', 'title': 'Computers'}","{'alias': 'mobilephones', 'title': 'Mobile Phones'}",mobilephonerepair,Mobile Phone Repair
13,mamachari-dalston,+44 20 7254 0080,5673.125552,#NAME?,https://s3-media3.fl.yelpcdn.com/bphoto/51nIDHDQIGnkJIt7IPct3A/o.jpg,Mamachari,4.42073E+11,none,5,1,https://www.yelp.com/biz/mamachari-dalston?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.5469016,-0.0749045,18 Ashwin Street,,,Dalston,E8 3DL,GB,XGL,"18 Ashwin Street, Dalston E8 3DL","{'alias': 'bikes', 'title': 'Bikes'}",,bike_repair_maintenance,Bike Repair/Maintenance
14,bentley-and-skinner-london,+44 20 7629 0651,574.3189024,aiV_AQJvhdIXBSG55Bs4pw,https://s3-media4.fl.yelpcdn.com/bphoto/Tbf5940N58UmpA-mpPD5ng/o.jpg,Bentley & Skinner,4.42076E+11,none,5,1,https://www.yelp.com/biz/bentley-and-skinner-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.508275,-0.139863,55 Piccadilly,,,London,W1J 0DX,GB,XGL,"55 Piccadilly, London W1J 0DX","{'alias': 'appraisalservices', 'title': 'Appraisal Services'}","{'alias': 'antiques', 'title': 'Antiques'}",jewelry,Jewelry
