,alias,display_phone,distance,id,image_url,name,phone,price,rating,review_count,url,latitude,longitude,address1,address2,address3,city,zip_code,country,state,display_address,category1,category2,alias,title
0,duck-and-waffle-local-london,+44 20 3900 4444,440.0780995,a4FkZ2b7Wn3-AP7q3ptHtQ,https://s3-media4.fl.yelpcdn.com/bphoto/zd2VBLt5bwlnlLFVP1VIWw/o.jpg,Duck & Waffle Local,4.42039E+11,££,4.5,106,https://www.yelp.com/biz/duck-and-waffle-local-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.50941757,-0.13274982,52 Haymarket,St James's Market,,London,SW1Y 4RP,GB,XGL,"52 Haymarket, St Jamess Market, London SW1Y 4RP","{'alias': 'waffles', 'title': 'Waffles'}",,bars,Bars
1,lamb-and-flag-london-2,+44 20 7497 9504,719.1170648,#NAME?,https://s3-media3.fl.yelpcdn.com/bphoto/z6_AQpOI6pMEA4G9iZvHQw/o.jpg,Lamb & Flag,4.42075E+11,££,4,127,https://www.yelp.com/biz/lamb-and-flag-london-2?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.51169561,-0.125726905,33 Rose Street,Covent Garden,,London,WC2E 9EB,GB,XGL,"33 Rose Street, Covent Garden, London WC2E 9EB",,,pubs,Pubs
2,artesian-london-2,+44 20 7636 1000,786.9612372,aoMC0Tr_pBbYuUeafqVVYQ,https://s3-media1.fl.yelpcdn.com/bphoto/EXw35swG078qdFDj1vWvTw/o.jpg,Artesian,4.42076E+11,£££,4.5,75,https://www.yelp.com/biz/artesian-london-2?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.51788982,-0.143916607,1C Portland Place,,,London,W1B 1JA,GB,XGL,"1C Portland Place, London W1B 1JA",,,lounges,Lounges
3,the-o2-london,+44 20 8463 2000,9675.324192,Z8x3ohWA5FJSHXw8D9sOuA,https://s3-media2.fl.yelpcdn.com/bphoto/YseiCH_BeYmkhtj1-dNYNA/o.jpg,The O2,4.42085E+11,££,4,193,https://www.yelp.com/biz/the-o2-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.5028391,0.002918243,Peninsula Sq,,,London,SE10 0DX,GB,XGL,"Peninsula Sq, London SE10 0DX","{'alias': 'venues', 'title': 'Venues & Event Spaces'}","{'alias': 'restaurants', 'title': 'Restaurants'}",musicvenues,Music Venues
4,the-blackfriar-london,+44 20 7236 5474,2231.52106,NEAPxGZfFuGZf8pjC2yhWQ,https://s3-media1.fl.yelpcdn.com/bphoto/VdSHy-QzyaxwWS1Sixxu_Q/o.jpg,The Blackfriar,4.42072E+11,££,4,136,https://www.yelp.com/biz/the-blackfriar-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.51213429,-0.103728753,174 Queen Victoria Street,,,London,EC4V 4EG,GB,XGL,"174 Queen Victoria Street, London EC4V 4EG",,,pubs,Pubs
5,oxo-tower-restaurant-south-bank-2,+44 20 7803 3888,1970.03506,yEo_5mmozlhGpwUWEqaw9w,https://s3-media1.fl.yelpcdn.com/bphoto/_og1SEXY0pG5_yVSnM7xLQ/o.jpg,OXO Tower Restaurant,4.42078E+11,£££,4,177,https://www.yelp.com/biz/oxo-tower-restaurant-south-bank-2?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.508346,-0.108418,8th Floor Oxo Tower Wharf,Barge House Street,,South Bank,SE1 9PH,GB,XGL,"8th Floor Oxo Tower Wharf, Barge House Street, South Bank SE1 9PH","{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}",,british,British
6,lucky-voice-london-4,+44 20 7354 6280,3910.048913,p_-GiRP5Huxg-Sx72XeegQ,https://s3-media2.fl.yelpcdn.com/bphoto/OJUH9TM-3ZMymBtrXcaZtA/o.jpg,Lucky Voice,4.42074E+11,££,4.5,70,https://www.yelp.com/biz/lucky-voice-london-4?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.5415289,-0.1030855,173-174 Upper Street,,,London,N1 1RG,GB,XGL,"173-174 Upper Street, London N1 1RG","{'alias': 'bars', 'title': 'Bars'}","{'alias': 'pizza', 'title': 'Pizza'}",karaoke,Karaoke
7,curzon-soho-london-3,+44 333 321 0104,369.350308,GJ7r7JH_HXs_j-cQDt-0Cg,https://s3-media1.fl.yelpcdn.com/bphoto/N-5Cb0j_zedZYSd17QjQJg/o.jpg,Curzon Soho,4.43333E+11,£££,4.5,72,https://www.yelp.com/biz/curzon-soho-london-3?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.512637,-0.130628,99 Shaftesbury Avenue,,,London,W1D 5DY,GB,XGL,"99 Shaftesbury Avenue, London W1D 5DY","{'alias': 'cafes', 'title': 'Cafes'}","{'alias': 'bars', 'title': 'Bars'}",movietheaters,Cinema
8,momo-london,+44 20 7434 4040,358.4416108,AM2d672O6FjDpL82iVWTlg,https://s3-media1.fl.yelpcdn.com/bphoto/YwiCdWQ46YoK9nGftCY_bA/o.jpg,Momo,4.42074E+11,£££,4,114,https://www.yelp.com/biz/momo-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.5111056,-0.1403264,25-27 Heddon Street,,,London,W1B 4BH,GB,XGL,"25-27 Heddon Street, London W1B 4BH","{'alias': 'bars', 'title': 'Bars'}","{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}",moroccan,Moroccan
9,the-admiralty-london,+44 20 7930 0066,787.6447187,7H9YQOs3c7LjW9R64eO9Jg,https://s3-media2.fl.yelpcdn.com/bphoto/cKkefiGUSNMC4Sf7sv4y0g/o.jpg,The Admiralty,4.42079E+11,££,4,79,https://www.yelp.com/biz/the-admiralty-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.507241,-0.128521,66 Trafalgar Square,,,London,WC2N 5DS,GB,XGL,"66 Trafalgar Square, London WC2N 5DS",,,pubs,Pubs
