,alias,display_phone,distance,id,image_url,name,phone,price,rating,review_count,url,latitude,longitude,address1,address2,address3,city,zip_code,country,state,display_address,category1,category2,alias,title
0,dishoom-london-7,+44 20 7420 9322,262.0105235,mc1KLbA1Sy4kUTKo0ZEeRQ,https://s3-media2.fl.yelpcdn.com/bphoto/rckGyCgCjV4_x8HHoJnsyA/o.jpg,Dishoom,4.42074E+11,££,4.5,438,https://www.yelp.com/biz/dishoom-london-7?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.5129919,-0.1397337,22 Kingly Street,,,London,W1B 5QP,GB,XGL,"22 Kingly Street, London W1B 5QP",,,indpak,Indian
1,punjab-london,+44 20 7836 9787,732.0870617,lMVdwKmsxLgqczUXXfgqGg,https://s3-media1.fl.yelpcdn.com/bphoto/J87T7Ad-h53a2N0XfLauHg/o.jpg,Punjab,4.42078E+11,££,4,498,https://www.yelp.com/biz/punjab-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.514992,-0.12596,80 Neal Street,,,London,WC2H 9PA,GB,XGL,"80 Neal Street, London WC2H 9PA",,,indpak,Indian
2,homeslice-neals-yard-london,+44 20 3151 7488,683.0755683,3AqrHgpIbcMXj0q-p_oPzg,https://s3-media2.fl.yelpcdn.com/bphoto/4NcFXhcBhVyrT7rqx9NM1A/o.jpg,Homeslice Neals Yard,4.42032E+11,££,4.5,210,https://www.yelp.com/biz/homeslice-neals-yard-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.5144381,-0.126426543,13 Neals Yard,Covent Garden,,London,WC2H 9DP,GB,XGL,"13 Neals Yard, Covent Garden, London WC2H 9DP",,,pizza,Pizza
3,the-table-london-6,+44 20 7401 2760,2636.743525,rKwkCvsSfp8z7w1CmNnMMQ,https://s3-media3.fl.yelpcdn.com/bphoto/ngyWJtw2bQe0yHB1R6Khxg/o.jpg,The Table,4.42074E+11,££,4,253,https://www.yelp.com/biz/the-table-london-6?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.505604,-0.099671,83 Southwark Street,,,London,SE1 0HX,GB,XGL,"83 Southwark Street, London SE1 0HX","{alias: breakfast_brunch, title: Breakfast & Brunch}",,british,British
4,the-palomar-restaurant-london,+44 20 7439 8777,291.2872721,D8T1NJ982wZPiItnxp2AKA,https://s3-media4.fl.yelpcdn.com/bphoto/0VTY6NWfuxLBumP1ZCdACg/o.jpg,The Palomar Restaurant,4.42074E+11,£££,4.5,92,https://www.yelp.com/biz/the-palomar-restaurant-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.5111632,-0.1327159,34 Rupert Street,,,London,W1D 6DN,GB,XGL,"34 Rupert Street, London W1D 6DN","{alias: mediterranean, title: Mediterranean}",,mideastern,Middle Eastern
5,wahaca-london-3,+44 20 7734 0195,161.1207667,9Iv6083qkdRpDdpIrD1uqA,https://s3-media2.fl.yelpcdn.com/bphoto/hd0T5YY_jxZ0lwzpEipd7A/o.jpg,Wahaca,4.42077E+11,££,4,300,https://www.yelp.com/biz/wahaca-london-3?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.51333452,-0.133769912,80 Wardour Street,,,London,W1F 0TF,GB,XGL,"80 Wardour Street, London W1F 0TF",,,mexican,Mexican
6,bao-soho-london,+44 20 3019 2200,58.4735561,xYYh1dd95idvwCoGZWq58g,https://s3-media4.fl.yelpcdn.com/bphoto/L-08d4lsRSOe2HlIs1ZmfA/o.jpg,BAO - Soho,4.4203E+11,££,4,174,https://www.yelp.com/biz/bao-soho-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.51322219,-0.136528485,53 Lexington Street,,,London,W1F 9AS,GB,XGL,"53 Lexington Street, London W1F 9AS",,,taiwanese,Taiwanese
7,the-english-rose-cafe-and-tea-shop-london,+44 20 7976 6280,1745.469334,BjPq77aiaKZAVUHIu2S3gA,https://s3-media1.fl.yelpcdn.com/bphoto/B_v1cOkgPEcbr8e2rtfaog/o.jpg,The English Rose Cafe and Tea Shop,4.4208E+11,££,4.5,156,https://www.yelp.com/biz/the-english-rose-cafe-and-tea-shop-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.4980558,-0.1444512,4 Lower Grosvenor Place,,,London,SW1W 0EJ,GB,XGL,"4 Lower Grosvenor Place, London SW1W 0EJ","{alias: breakfast_brunch, title: Breakfast & Brunch}","{alias: cafes, title: Cafes}",coffee,Coffee & Tea
8,duck-and-waffle-local-london,+44 20 3900 4444,440.0780995,a4FkZ2b7Wn3-AP7q3ptHtQ,https://s3-media4.fl.yelpcdn.com/bphoto/zd2VBLt5bwlnlLFVP1VIWw/o.jpg,Duck & Waffle Local,4.42039E+11,££,4.5,103,https://www.yelp.com/biz/duck-and-waffle-local-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.50941757,-0.13274982,52 Haymarket,St Jamess Market,,London,SW1Y 4RP,GB,XGL,"52 Haymarket, St Jamess Market, London SW1Y 4RP","{alias: waffles, title: Waffles}",,bars,Bars
9,amaya-london,+44 20 7823 1166,2116.420706,Kfg3Zd9IqaIgo6YJKFIZ1A,https://s3-media3.fl.yelpcdn.com/bphoto/iMo3IZrbXSHmIF-fhz4IPg/o.jpg,Amaya,4.42078E+11,££££,4,156,https://www.yelp.com/biz/amaya-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.4991557,-0.1572173,Halkin Arcade,Motcomb Street,,London,SW1X 8JT,GB,XGL,"Halkin Arcade, Motcomb Street, London SW1X 8JT",,,indpak,Indian
