,alias,display_phone,distance,id,image_url,name,phone,price,rating,review_count,url,latitude,longitude,address1,address2,address3,city,zip_code,country,state,display_address,category1,category2,alias,title
0,liberty-london-4,+44 20 7734 1234,309.1283216,iBImrE7AzoIQuSglVJXZZA,https://s3-media3.fl.yelpcdn.com/bphoto/RKUFwLvnQl2jwFrCK1reWw/o.jpg,Liberty,4.42077E+11,£££,4.5,218,https://www.yelp.com/biz/liberty-london-4?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.5138272,-0.1401291,Regent Street,,,London,W1B 5AH,GB,XGL,"Regent Street, London W1B 5AH",,,deptstores,Department Stores
1,covent-garden-london-12,+44 20 7395 3765,920.998755,H1EGarrQtwkMrZ4L0rLnDg,https://s3-media2.fl.yelpcdn.com/bphoto/9qzjRTu6BpwKNas2UzSmlw/o.jpg,Covent Garden,4.42074E+11,££,4,230,https://www.yelp.com/biz/covent-garden-london-12?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.51196203,-0.122721095,The Market Building,,,London,WC2E 8RF,GB,XGL,"The Market Building, London WC2E 8RF",,,shoppingcenters,Shopping Centers
2,foyles-london,+44 20 7437 5660,450.1808614,f1ZWclsVp7-9SdFZjOCFdg,https://s3-media4.fl.yelpcdn.com/bphoto/UdMIMaVVEWUC0jNnfKIrHA/o.jpg,Foyles,4.42074E+11,££,4.5,126,https://www.yelp.com/biz/foyles-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.51424041,-0.12985453,107 Charing Cross Road,,,London,WC2H 0DT,GB,XGL,"107 Charing Cross Road, London WC2H 0DT",,,bookstores,Bookstores
3,apple-store-london-12,+44 20 7153 9000,444.6445699,jgEI_M1OnwuKDUsKqVbNOQ,https://s3-media4.fl.yelpcdn.com/bphoto/B6qa4On99o33DwiBXdMZ8w/o.jpg,Apple Store,4.42072E+11,£££,4,152,https://www.yelp.com/biz/apple-store-london-12?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.5140898,-0.1416398,235 Regent Street,,,London,W1B 2EL,GB,XGL,"235 Regent Street, London W1B 2EL","{alias: computers, title: Computers}","{alias: mobilephones, title: Mobile Phones}",itservices,IT Services & Computer Repair
4,primark-london,+44 20 7495 0420,1407.428666,veYY2GHCJzhCHnPZlZ-4eA,https://s3-media1.fl.yelpcdn.com/bphoto/Y44xhIPuCvNp03C7ZWziBQ/o.jpg,Primark,4.42075E+11,£,3.5,222,https://www.yelp.com/biz/primark-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.51345014,-0.156270257,499-517 Oxford Street,,,London,W1K 7DA,GB,XGL,"499-517 Oxford Street, London W1K 7DA","{alias: womenscloth, title: Womens Clothing}",,menscloth,Mens Clothing
5,waterstones-london,+44 20 7636 1577,1100.583126,bEwyyvDvI6Hkt8v4-ye1Uw,https://s3-media2.fl.yelpcdn.com/bphoto/V8w23f31uCm_UHj9OKCduA/o.jpg,Waterstones,4.42076E+11,££,4.5,41,https://www.yelp.com/biz/waterstones-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.522451,-0.132184,82 Gower Street,,,London,WC1E 6EQ,GB,XGL,"82 Gower Street, London WC1E 6EQ",,,bookstores,Bookstores
6,gosh-comics-london,+44 20 7437 0187,122.2384965,9wDu2PZyOhtL_ILBPsd_7A,https://s3-media1.fl.yelpcdn.com/bphoto/N0M_Ix8L-WuybmNxjyr6qg/o.jpg,Gosh Comics,4.42074E+11,££,4.5,35,https://www.yelp.com/biz/gosh-comics-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.51292386,-0.134195092,1 Berwick Street,Soho,,London,W1F 0DR,GB,XGL,"1 Berwick Street, Soho, London W1F 0DR",,,comicbooks,Comic Books
7,spitalfields-market-london,+44 20 7377 1496,4202.814832,mjz1mVLzS6OPU27-cResbA,https://s3-media2.fl.yelpcdn.com/bphoto/_QY9qelrUnC6hpUz4vqYlw/o.jpg,Spitalfields Market,4.42074E+11,££,3.5,83,https://www.yelp.com/biz/spitalfields-market-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.51966566,-0.076217651,Spital Square,56 Brushfield Street,Spitalfields,London,E1 6DY,GB,XGL,"Spital Square, 56 Brushfield Street, Spitalfields, London E1 6DY",,,marketstalls,Market Stalls
8,beyond-retro-london,+44 20 7729 9001,4930.059199,Lu9ywvIMEqqKom29OUba3Q,https://s3-media1.fl.yelpcdn.com/bphoto/c8GTbmsD-ZGQ4e4MvLFtjw/o.jpg,Beyond Retro,4.42077E+11,££,4,54,https://www.yelp.com/biz/beyond-retro-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.523725,-0.066522,110-112 Cheshire Street,,,London,E2 6EJ,GB,XGL,"110-112 Cheshire Street, London E2 6EJ",,,vintage,"Used, Vintage & Consignment"
9,serpentine-galleries-london,+44 20 7402 6075,2850.046663,VL8v-jEvXXpPH7iZ8-lA6A,https://s3-media4.fl.yelpcdn.com/bphoto/WYWYkk23L9QyfvF2sSslsA/o.jpg,Serpentine Galleries,4.42074E+11,£,4,43,https://www.yelp.com/biz/serpentine-galleries-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.504749,-0.175034,Kensington Gardens,,,London,W2 3XA,GB,XGL,"Kensington Gardens, London W2 3XA","{alias: bookstores, title: Bookstores}","{alias: culturalcenter, title: Cultural Center}",galleries,Art Galleries
