,alias,display_phone,distance,id,image_url,name,phone,price,rating,review_count,url,latitude,longitude,address1,address2,address3,city,zip_code,country,state,display_address,category1,category2,alias,title
0,the-o2-london,+44 20 8463 2000,9675.324192,Z8x3ohWA5FJSHXw8D9sOuA,https://s3-media2.fl.yelpcdn.com/bphoto/YseiCH_BeYmkhtj1-dNYNA/o.jpg,The O2,4.42E+11,££,4,193,https://www.yelp.com/biz/the-o2-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.5028391,0.002918243,Peninsula Sq,,,London,SE10 0DX,GB,XGL,"Peninsula Sq, London SE10 0DX","{alias: venues, title: Venues & Event Spaces}","{alias: restaurants, title: Restaurants}",musicvenues,Music Venues
1,st-ermins-hotel-autograph-collection-london,+44 20 7222 7888,1553.344663,LNDsn8gxFFiLMHTLo82pQA,https://s3-media3.fl.yelpcdn.com/bphoto/WjVwtQdpF__QCBatOh2e5w/o.jpg,"St. Ermins Hotel, Autograph Collection",4.42E+11,£££,4,109,https://www.yelp.com/biz/st-ermins-hotel-autograph-collection-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.4989305,-0.133800663,2 Caxton Street,,,London,SW1H 0QW,GB,XGL,"2 Caxton Street, London SW1H 0QW","{alias: venues, title: Venues & Event Spaces}",,hotels,Hotels
2,jw-marriott-grosvenor-house-london-london,+44 20 7499 6363,1354.886605,mcKkDc_xxFVGizFRgPPpxg,https://s3-media3.fl.yelpcdn.com/bphoto/h0rtaB33kjUizgDMPK1u8A/o.jpg,JW Marriott Grosvenor House London,4.42E+11,£££,4,96,https://www.yelp.com/biz/jw-marriott-grosvenor-house-london-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.509738,-0.154891,86-90 Park Lane,,,London,W1K 7TN,GB,XGL,"86-90 Park Lane, London W1K 7TN","{alias: venues, title: Venues & Event Spaces}",,hotels,Hotels
3,london-marriott-hotel-county-hall-london,+44 20 7928 5200,1750.924889,5auFvoTZbS8TDxGdL7DPEg,https://s3-media2.fl.yelpcdn.com/bphoto/F9JnBrZop7Yv2M0J-2ccIg/o.jpg,London Marriott Hotel County Hall,4.42E+11,£££,4,99,https://www.yelp.com/biz/london-marriott-hotel-county-hall-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.50098249,-0.119301246,London County Hall Westminster Bridge Road,,,London,SE1 7PB,GB,XGL,"London County Hall Westminster Bridge Road, London SE1 7PB","{alias: venues, title: Venues & Event Spaces}",,hotels,Hotels
4,st-pancras-renaissance-hotel-london-london-2,+44 20 7841 3540,2018.159578,MXXkkGldpE0afT_moqaUnQ,https://s3-media4.fl.yelpcdn.com/bphoto/QmSY8nswPEdf1l-8U7N7YA/o.jpg,St. Pancras Renaissance Hotel London,4.42E+11,£££,4,71,https://www.yelp.com/biz/st-pancras-renaissance-hotel-london-london-2?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.529852,-0.12581,Euston Road,,,London,NW1 2AR,GB,LND,"Euston Road, London NW1 2AR","{alias: venues, title: Venues & Event Spaces}",,hotels,Hotels
5,london-marriott-hotel-park-lane-london,+44 20 7493 7000,1507.417976,ordoxmuOAuK0dRySXjvZ8Q,https://s3-media1.fl.yelpcdn.com/bphoto/SGD3KFGrgDRe1b_nyLarDw/o.jpg,London Marriott Hotel Park Lane,4.42E+11,£££,4.5,40,https://www.yelp.com/biz/london-marriott-hotel-park-lane-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.51310732,-0.157734712,140 Park Lane,,,London,W1K 7AA,GB,LND,"140 Park Lane, London W1K 7AA","{alias: venues, title: Venues & Event Spaces}",,hotels,Hotels
6,london-marriott-hotel-grosvenor-square-london,+44 20 7493 1232,1025.591612,mHtH47UEuSZGg2RJ1nYBIQ,https://s3-media3.fl.yelpcdn.com/bphoto/YXeV85ph9Mh2b9E-XeGGSg/o.jpg,London Marriott Hotel Grosvenor Square,4.42E+11,£££,4,51,https://www.yelp.com/biz/london-marriott-hotel-grosvenor-square-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.51259494,-0.150771225,Grosvenor Square,,,London,W1K 6JP,GB,XGL,"Grosvenor Square, London W1K 6JP","{alias: venues, title: Venues & Event Spaces}",,hotels,Hotels
7,the-phoenix-london-5,+44 20 7828 8136,1621.519833,JKRzUDwwuwY-Oi0B7yBiXg,https://s3-media2.fl.yelpcdn.com/bphoto/0bI_MpI1pRtMNkfLdzc69w/o.jpg,The Phoenix,4.42E+11,££,3.5,67,https://www.yelp.com/biz/the-phoenix-london-5?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.498801,-0.142395,14 Palace Street,,,London,SW1E 5JA,GB,XGL,"14 Palace Street, London SW1E 5JA","{alias: british, title: British}","{alias: venues, title: Venues & Event Spaces}",pubs,Pubs
8,coffee-cakes-and-kisses-london,+44 20 7388 6748,1292.243331,NLxsxrrOVo-Fwg78VuhBqg,https://s3-media4.fl.yelpcdn.com/bphoto/LaByHhP7CCC1uBKFN88CAA/o.jpg,"Coffee, Cakes & Kisses",4.42E+11,£,5,14,https://www.yelp.com/biz/coffee-cakes-and-kisses-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.52417755,-0.140123993,54 Warren Street,,,London,W1T 5NN,GB,XGL,"54 Warren Street, London W1T 5NN","{alias: venues, title: Venues & Event Spaces}",,coffee,Coffee & Tea
9,the-boundary-project-london,+44 20 7729 1051,4320.024632,MTnQ9IC7SPKuK6NPpKvfmQ,https://s3-media1.fl.yelpcdn.com/bphoto/by9Dqp5gPIIzDqKFUKRYQw/o.jpg,The Boundary Project,4.42E+11,£££,3.5,57,https://www.yelp.com/biz/the-boundary-project-london?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.52440097,-0.076351194,2-4 Boundary Street,Shoreditch,,London,E2 7DD,GB,XGL,"2-4 Boundary Street, Shoreditch, London E2 7DD","{alias: modern_european, title: Modern European}","{alias: hotels, title: Hotels}",french,French
10,park-plaza-london-riverbank-london-3,+44 333 400 6120,2590.312914,VJnV5ytkwKvu5AK6CQ2MyQ,https://s3-media2.fl.yelpcdn.com/bphoto/SI0pLy4NXK5GD1YnjYYjPA/o.jpg,Park Plaza London Riverbank,4.43E+11,£££,3.5,46,https://www.yelp.com/biz/park-plaza-london-riverbank-london-3?adjust_creative=DyUgVCPdVoHcT1xSjEeaEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DyUgVCPdVoHcT1xSjEeaEw,51.4911505,-0.1218023,18 Albert Embankment,,,London,SE1 7TJ,GB,XGL,"18 Albert Embankment, London SE1 7TJ","{alias: venues, title: Venues & Event Spaces}",,hotels,Hotels
